fraction,theoretical bmr,observed bmr,observed snr,observed spr,bmr complexity,bmr accuracy,snr complexity,snr accuracy,spr complexity,spr accuracy
0.0,1625.6522521972656,1625.6522521972656,1625.6522521972656,1625.6522521972656,238.92202758789062,1386.730224609375,238.92202758789062,1386.730224609375,238.92202758789062,1386.730224609375
0.009320905459387484,1606.1630554199219,1609.6521759033203,1624.8164367675781,1607.9585266113281,222.6679229736328,1386.9842529296875,238.89822387695312,1385.918212890625,222.90359497070312,1385.054931640625
0.019973368841544607,1584.95503616333,1587.3252258300781,1620.9023895263672,1587.1277770996094,205.12527465820312,1382.199951171875,236.6616668701172,1384.24072265625,205.62118530273438,1381.506591796875
0.02929427430093209,1567.3431205749512,1566.2360534667969,1620.5018005371094,1565.1986541748047,190.06295776367188,1376.173095703125,236.63180541992188,1383.8699951171875,190.1641082763672,1375.0345458984375
0.03994673768308921,1547.9037704467773,1539.473159790039,1619.8202209472656,1539.473159790039,173.05616760253906,1366.4169921875,236.61111450195312,1383.2091064453125,173.05616760253906,1366.4169921875
0.0492676431424767,1531.8844146728516,1511.9902648925781,1619.8105773925781,1514.8402709960938,157.75820922851562,1354.2320556640625,236.56985473632812,1383.24072265625,157.34552001953125,1357.4947509765625
0.05992010652463382,1515.5659942626953,1490.8775329589844,1619.0098114013672,1490.382308959961,141.09005737304688,1349.7874755859375,236.5233612060547,1382.4864501953125,140.23692321777344,1350.1453857421875
0.0692410119840213,1509.8358154296875,1485.943862915039,1618.7028503417969,1485.7316589355469,134.57191467285156,1351.3719482421875,236.47702026367188,1382.225830078125,128.35690307617188,1357.374755859375
0.07989347536617843,1508.0481643676758,1485.6351013183594,1617.94140625,1515.6129913330078,134.26315307617188,1351.3719482421875,236.3956298828125,1381.5457763671875,110.80903625488281,1404.803955078125
0.08921438082556592,1506.8275909423828,1485.4138793945312,1617.8694763183594,1606.0699920654297,134.04193115234375,1351.3719482421875,236.35641479492188,1381.5130615234375,99.59880065917969,1506.47119140625
0.09986684420772303,1505.5107803344727,1485.187484741211,1616.6737823486328,1603.8041229248047,133.81553649902344,1351.3719482421875,236.3330841064453,1380.3406982421875,97.62223815917969,1506.181884765625
0.10918774966711052,1504.4387130737305,1484.994140625,1615.1551971435547,1603.6342010498047,133.6221923828125,1351.3719482421875,236.3048553466797,1378.850341796875,97.45231628417969,1506.181884765625
0.11984021304926765,1503.2884674072266,1484.7385559082031,1614.1022186279297,1603.4808807373047,133.36660766601562,1351.3719482421875,236.2352752685547,1377.866943359375,97.29899597167969,1506.181884765625
0.12916111850865514,1502.3238067626953,1484.5838470458984,1613.3520812988281,1603.3264617919922,133.21189880371094,1351.3719482421875,236.21377563476562,1377.1383056640625,97.14457702636719,1506.181884765625
0.13981358189081225,1501.2646560668945,1484.4308166503906,1612.6138000488281,1603.2129592895508,133.05886840820312,1351.3719482421875,236.15554809570312,1376.458251953125,97.03107452392578,1506.181884765625
0.14913448735019974,1500.3747482299805,1484.2884521484375,1612.3928985595703,1603.0875244140625,132.91650390625,1351.3719482421875,236.1306915283203,1376.26220703125,96.9056396484375,1506.181884765625
0.15978695073235685,1499.3973922729492,1484.1490173339844,1611.7660675048828,1602.97216796875,132.77706909179688,1351.3719482421875,236.0782012939453,1375.6878662109375,96.790283203125,1506.181884765625
0.16910785619174434,1498.5751953125,1484.0356140136719,1611.001953125,1602.8844375610352,132.66366577148438,1351.3719482421875,236.0181884765625,1374.9837646484375,96.70255279541016,1506.181884765625
0.17976031957390146,1497.6654052734375,1483.88037109375,1610.9444885253906,1683.6009216308594,132.5084228515625,1351.3719482421875,236.00173950195312,1374.9427490234375,92.89645385742188,1590.7044677734375
0.18908122503328895,1496.8862915039062,1483.7478332519531,1610.694091796875,1743.268424987793,132.37588500976562,1351.3719482421875,235.95703125,1374.737060546875,90.34130096435547,1652.9271240234375
0.19973368841544606,1496.0151672363281,1483.5811614990234,1609.4719696044922,1743.1554946899414,132.20921325683594,1351.3719482421875,235.9360809326172,1373.535888671875,90.2283706665039,1652.9271240234375
0.20905459387483355,1495.2757720947266,1483.4619903564453,1605.2805480957031,1743.0648651123047,132.0900421142578,1351.3719482421875,233.87503051757812,1371.405517578125,90.13774108886719,1652.9271240234375
0.2197070572569907,1494.4502258300781,1483.3163146972656,1605.0160675048828,1742.9939041137695,131.94436645507812,1351.3719482421875,233.8563995361328,1371.15966796875,90.06678009033203,1652.9271240234375
0.22902796271637815,1493.750961303711,1483.200668334961,1604.4879913330078,1742.9518966674805,131.82872009277344,1351.3719482421875,233.8183135986328,1370.669677734375,90.02477264404297,1652.9271240234375
0.2396804260985353,1492.965576171875,1483.0348815917969,1603.9534454345703,1742.8299713134766,131.66293334960938,1351.3719482421875,233.7406768798828,1370.2127685546875,89.90284729003906,1652.9271240234375
0.24900133155792276,1492.2949676513672,1482.9295806884766,1602.8042297363281,1742.7891998291016,131.55763244628906,1351.3719482421875,233.70510864257812,1369.09912109375,89.86207580566406,1652.9271240234375
0.2596537949400799,1491.544448852539,1482.813735961914,1601.4088592529297,1742.6620330810547,131.44178771972656,1351.3719482421875,233.6747283935547,1367.734130859375,89.73490905761719,1652.9271240234375
0.26897470039946736,1490.905517578125,1482.7233581542969,1597.7193298339844,1742.557716369629,131.35140991210938,1351.3719482421875,231.48190307617188,1366.2374267578125,89.6305923461914,1652.9271240234375
0.2796271637816245,1490.1937408447266,1482.591781616211,1595.3011779785156,1742.4979705810547,131.21983337402344,1351.3719482421875,229.48452758789062,1365.816650390625,89.57084655761719,1652.9271240234375
