fraction,theoretical bmr,observed bmr,observed snr,observed spr,bmr complexity,bmr accuracy,snr complexity,snr accuracy,spr complexity,spr accuracy
0.0,1596.9384307861328,1596.9384307861328,1596.9384307861328,1596.9384307861328,230.5648956298828,1366.37353515625,230.5648956298828,1366.37353515625,230.5648956298828,1366.37353515625
0.009320905459387484,1578.4186668395996,1578.9198455810547,1596.628173828125,1578.9198455810547,215.4601287841797,1363.459716796875,230.5494384765625,1366.0787353515625,215.4601287841797,1363.459716796875
0.019973368841544607,1557.253231048584,1558.6858520507812,1596.2748565673828,1558.6858520507812,198.19732666015625,1360.488525390625,230.5316925048828,1365.7431640625,198.19732666015625,1360.488525390625
0.02929427430093209,1538.7334671020508,1541.2941284179688,1595.9666900634766,1541.2940063476562,183.09246826171875,1358.20166015625,230.51625061035156,1365.450439453125,183.09246826171875,1358.2015380859375
0.03994673768308921,1517.568000793457,1521.7760009765625,1595.6158294677734,1521.7760009765625,165.8297119140625,1355.9462890625,230.49864196777344,1365.1171875,165.8297119140625,1355.9462890625
0.0492676431424767,1499.048240661621,1505.0116577148438,1595.3103332519531,1505.0116577148438,150.72491455078125,1354.2867431640625,230.48318481445312,1364.8271484375,150.72491455078125,1354.2867431640625
0.05992010652463382,1477.882797241211,1486.2099304199219,1594.9615325927734,1486.2099304199219,133.46212768554688,1352.747802734375,230.46543884277344,1364.49609375,133.46212768554688,1352.747802734375
0.0692410119840213,1469.595603942871,1473.0564041137695,1594.711685180664,1473.1189422607422,123.98780059814453,1349.068603515625,230.45204162597656,1364.2596435546875,121.20854187011719,1351.910400390625
0.07989347536617843,1469.0960159301758,1473.0172500610352,1594.3460998535156,1498.557502746582,123.94864654541016,1349.068603515625,230.43203735351562,1363.9140625,103.69055938720703,1394.866943359375
0.08921438082556592,1468.7074432373047,1472.9829864501953,1594.0629577636719,1606.7044143676758,123.91438293457031,1349.068603515625,230.41635131835938,1363.6466064453125,91.04718780517578,1515.6572265625
0.09986684420772303,1468.2633819580078,1472.943733215332,1593.7407836914062,1663.7507400512695,123.87512969970703,1349.068603515625,230.39849853515625,1363.34228515625,84.60230255126953,1579.1484375
0.10918774966711052,1467.8748016357422,1472.9094543457031,1593.4603424072266,1663.7352752685547,123.84085083007812,1349.068603515625,230.38294982910156,1363.077392578125,84.58683776855469,1579.1484375
0.11984021304926765,1467.4307403564453,1472.8703079223633,1593.140625,1663.7175750732422,123.80170440673828,1349.068603515625,230.3651123046875,1362.7755126953125,84.56913757324219,1579.1484375
0.12916111850865514,1467.0421600341797,1472.8359375,1592.856689453125,1663.7020645141602,123.767333984375,1349.068603515625,230.34912109375,1362.507568359375,84.55362701416016,1579.1484375
0.13981358189081225,1466.6100769042969,1472.8111953735352,1592.5259094238281,1663.6843719482422,123.74259185791016,1349.068603515625,230.32986450195312,1362.196044921875,84.53593444824219,1579.1484375
0.14913448735019974,1466.2320098876953,1472.7893676757812,1592.239013671875,1663.6689147949219,123.72076416015625,1349.068603515625,230.31298828125,1361.926025390625,84.52047729492188,1579.1484375
0.15978695073235685,1465.7999114990234,1472.764518737793,1591.9137573242188,1663.6511535644531,123.69591522216797,1349.068603515625,230.29376220703125,1361.6199951171875,84.50271606445312,1579.1484375
0.16910785619174434,1465.4217987060547,1472.7427825927734,1591.6318359375,1663.6356048583984,123.67417907714844,1349.068603515625,230.277099609375,1361.354736328125,84.48716735839844,1579.1484375
0.17976031957390146,1464.98974609375,1472.7179412841797,1591.3121643066406,1663.6177673339844,123.64933776855469,1349.068603515625,230.25784301757812,1361.0543212890625,84.46932983398438,1579.1484375
0.18908122503328895,1464.6116790771484,1472.696189880371,1591.036376953125,1663.6021575927734,123.6275863647461,1349.068603515625,230.2410888671875,1360.7952880859375,84.45372009277344,1579.1484375
0.19973368841544606,1464.1801300048828,1472.6717834472656,1590.7347869873047,1663.5843200683594,123.60317993164062,1349.068603515625,230.2236785888672,1360.5111083984375,84.43588256835938,1579.1484375
0.20905459387483355,1463.8026580810547,1472.650505065918,1590.47265625,1663.5687713623047,123.58190155029297,1349.068603515625,230.208251953125,1360.264404296875,84.42033386230469,1579.1484375
0.2197070572569907,1463.3712615966797,1472.6261825561523,1590.1750183105469,1663.5507202148438,123.55757904052734,1349.068603515625,230.19076538085938,1359.9842529296875,84.40228271484375,1579.1484375
0.22902796271637815,1462.9938049316406,1472.6047897338867,1589.915756225586,1663.533950805664,123.53618621826172,1349.068603515625,230.17539978027344,1359.7403564453125,84.38551330566406,1579.1484375
0.2396804260985353,1462.5624389648438,1472.5805358886719,1589.6216888427734,1663.5147247314453,123.51193237304688,1349.068603515625,230.15769958496094,1359.4639892578125,84.36628723144531,1579.1484375
0.24900133155792276,1462.1849670410156,1472.5591888427734,1589.3664855957031,1663.4978790283203,123.49058532714844,1349.068603515625,230.14248657226562,1359.2239990234375,84.34944152832031,1579.1484375
0.2596537949400799,1461.7624206542969,1472.5328826904297,1589.089828491211,1663.4786987304688,123.46427917480469,1349.068603515625,230.12583923339844,1358.9639892578125,84.33026123046875,1579.1484375
0.26897470039946736,1461.4004669189453,1472.508201599121,1588.8514709472656,1663.4618835449219,123.4395980834961,1349.068603515625,230.11160278320312,1358.7398681640625,84.31344604492188,1579.1484375
0.2796271637816245,1460.986801147461,1472.4799346923828,1588.581039428711,1663.442626953125,123.41133117675781,1349.068603515625,230.09519958496094,1358.48583984375,84.294189453125,1579.1484375
